Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
53:18.9,0
53:19.1,0
53:19.3,0
53:19.4,0
53:19.6,0
53:19.8,0
53:20.0,0
53:20.3,0
53:20.4,0
53:20.6,0
53:20.8,0
53:21.0,0
53:21.2,0
53:21.4,0
53:21.6,0
53:21.8,0
53:22.0,0
53:22.2,0
53:22.5,0
53:22.6,0
53:22.8,0
53:23.0,0
53:23.2,0
53:23.4,0
53:23.6,0
53:23.8,0
53:24.0,0
53:24.2,0
53:24.4,0
53:24.7,0
53:24.8,0
53:25.0,0
53:25.2,0
53:25.4,0
53:25.6,0
53:25.8,0
53:26.0,0
53:26.2,0
53:26.4,0
53:26.6,0
53:26.9,0
53:27.0,0
53:27.2,0
53:27.4,0
53:27.6,0
53:27.8,0
53:28.0,0
53:28.2,0
53:28.4,0
53:28.6,0
53:28.8,0
53:29.0,0
53:29.2,0
53:29.4,0
53:29.6,0
53:29.8,0
53:30.0,0
53:30.2,0
53:30.4,0
53:30.6,0
53:30.8,0
53:31.0,0
53:31.2,0
53:31.4,0
53:31.6,0
53:31.8,0
53:32.0,0
53:32.2,0
53:32.4,0
53:32.7,0
53:32.8,0
53:33.0,0
53:33.2,0
53:33.4,0
53:33.6,0
53:33.8,0
53:34.0,0
53:34.2,0
53:34.4,0
53:34.6,0
53:34.9,0
53:35.0,0
53:35.2,0
53:35.4,0
53:35.6,0
53:35.8,0
53:36.0,0
53:36.2,0
53:36.4,0
53:36.6,0
53:36.8,0
53:37.1,0
53:37.2,0
53:37.4,0
53:37.6,0
53:37.8,0
53:38.0,0
53:38.2,0
53:38.4,0
53:38.6,0
53:38.8,0
53:39.0,0
53:39.2,0
53:39.4,0
53:39.6,0
53:39.8,0
53:40.0,0
53:40.2,0
53:40.4,0
53:40.6,0
53:40.8,0
53:41.0,0
53:41.2,0
53:41.4,0
53:41.6,0
53:41.8,0
53:42.0,0
53:42.2,0
53:42.4,0
53:42.6,0
53:42.9,0
53:43.0,0
53:43.2,0
53:43.4,0
53:43.6,0
53:43.8,0
53:44.0,0
53:44.2,0
53:44.4,0
53:44.6,0
53:44.8,0
53:45.1,0
53:45.2,0
53:45.4,0
53:45.6,0
53:45.8,0
53:46.0,0
53:46.2,0
53:46.4,0
53:46.6,0
53:46.8,0
53:47.0,0
53:47.3,0
53:47.4,0
53:47.6,0
53:47.8,0
53:48.0,0
53:48.2,0
53:48.4,0
53:48.6,0
53:48.8,0
53:49.0,0
53:49.2,0
53:49.5,0
53:49.6,0
53:49.8,0
53:50.0,0
53:50.2,0
53:50.4,0
53:50.6,0
53:50.8,0
53:51.0,0
53:51.2,0
53:51.4,0
53:51.6,0
53:51.8,0
53:52.0,0
53:52.2,0
53:52.4,0
53:52.6,0
53:52.8,0
53:53.0,0
53:53.2,0
53:53.4,0
53:53.6,0
53:53.8,0
53:54.0,0
53:54.2,0
53:54.4,0
53:54.6,0
53:54.8,0
53:55.0,0
53:55.2,0
53:55.4,0
53:55.6,0
53:55.8,0
53:56.0,106
53:56.2,377
53:56.4,626
53:56.6,884
53:56.8,1168
53:57.0,1458
53:57.2,1733
53:57.4,2007
