Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
07:17.2,0
07:17.4,0
07:17.6,0
07:17.8,0
07:18.0,0
07:18.2,0
07:18.4,0
07:18.6,0
07:18.8,0
07:19.0,0
07:19.2,0
07:19.4,0
07:19.6,0
07:19.8,0
07:20.0,0
07:20.2,0
07:20.4,0
07:20.6,0
07:20.8,0
07:21.0,0
07:21.2,0
07:21.4,0
07:21.6,0
07:21.8,0
07:22.0,0
07:22.2,0
07:22.4,0
07:22.6,0
07:22.8,0
07:23.0,0
07:23.2,0
07:23.4,0
07:23.6,0
07:23.8,0
07:24.0,0
07:24.2,0
07:24.4,0
07:24.6,0
07:24.8,0
07:25.0,0
07:25.2,0
07:25.4,0
07:25.6,0
07:25.8,0
07:26.0,0
07:26.2,0
07:26.4,0
07:26.6,0
07:26.8,0
07:27.0,0
07:27.2,0
07:27.4,0
07:27.6,0
07:27.8,0
07:28.0,0
07:28.2,0
07:28.4,0
07:28.6,0
07:28.8,0
07:29.0,0
07:29.2,0
07:29.4,0
07:29.6,0
07:29.8,0
07:30.0,0
07:30.2,0
07:30.4,0
07:30.6,0
07:30.8,0
07:31.0,0
07:31.2,0
07:31.4,0
07:31.6,0
07:31.8,0
07:32.0,0
07:32.2,0
07:32.4,0
07:32.6,0
07:32.8,0
07:33.0,0
07:33.2,0
07:33.4,0
07:33.6,0
07:33.8,0
07:34.0,0
07:34.2,0
07:34.4,0
07:34.6,0
07:34.8,0
07:35.0,0
07:35.2,0
07:35.4,0
07:35.6,0
07:35.8,0
07:36.0,0
07:36.2,0
07:36.4,0
07:36.6,0
07:36.8,0
07:37.0,0
07:37.2,0
07:37.4,0
07:37.6,0
07:37.8,0
07:38.0,0
07:38.2,0
07:38.4,0
07:38.6,0
07:38.8,0
07:39.0,0
07:39.2,0
07:39.4,0
07:39.6,0
07:39.8,0
07:40.0,0
07:40.2,0
07:40.4,0
07:40.6,0
07:40.8,0
07:41.0,0
07:41.2,0
07:41.4,0
07:41.6,0
07:41.8,0
07:42.0,0
07:42.2,0
07:42.4,0
07:42.6,0
07:42.8,0
07:43.0,0
07:43.2,0
07:43.4,0
07:43.6,0
07:43.8,0
07:44.0,0
07:44.2,0
07:44.4,0
07:44.6,0
07:44.8,0
07:45.0,0
07:45.2,0
07:45.4,0
07:45.6,0
07:45.8,0
07:46.0,0
07:46.2,0
07:46.4,0
07:46.6,0
07:46.8,0
07:47.0,0
07:47.2,0
07:47.4,0
07:47.6,0
07:47.8,0
07:48.0,0
07:48.2,0
07:48.4,0
07:48.6,0
07:48.8,0
07:49.0,0
07:49.2,0
07:49.4,0
07:49.6,0
07:49.8,0
07:50.0,0
07:50.2,0
07:50.4,0
07:50.6,0
07:50.8,0
07:51.0,2
07:51.2,122
07:51.4,234
07:51.6,342
07:51.8,444
07:52.0,551
07:52.2,671
07:52.4,805
07:52.6,943
07:52.8,1084
07:53.0,1228
07:53.2,1370
07:53.4,1502
07:53.6,1622
07:53.8,1733
07:54.0,1839
07:54.2,1942
07:54.4,2054
07:54.6,2186
07:54.8,2320
07:55.0,2464
07:55.2,2607
07:55.4,2757
07:55.6,2900
07:55.8,3028
07:56.0,3144
07:56.2,3260
07:56.4,3370
07:56.6,3488
07:56.8,3626
07:57.0,3768
07:57.2,3915
07:57.4,4068
07:57.6,4223
07:57.8,4366
07:58.0,4497
07:58.2,4618
07:58.4,4737
07:58.6,4857
07:58.8,4982
07:59.0,5126
07:59.2,5271
07:59.4,5423
07:59.6,5584
07:59.8,5740
08:00.0,5885
08:00.2,6016
08:00.4,6143
08:00.6,6269
08:00.8,6402
08:01.0,6554
08:01.2,6709
08:01.4,6868
08:01.6,7033
08:01.8,7193
08:02.0,7335
08:02.1,7462
08:02.3,7585
08:02.5,7701
08:02.7,7828
08:02.9,7974
08:03.1,8125
08:03.3,8281
08:03.5,8433
08:03.7,8585
08:03.9,8722
08:04.1,8842
08:04.3,8952
08:04.5,9057
08:04.7,9156
08:04.9,9261
08:05.1,9307
08:05.3,9306
08:05.5,9306
08:05.7,9306
